Recipe_ID,calories,TotalFat,SaturatedFat,Cholesterol,Sodium,Potassium,TotalCarbohydrates,DietaryFiber,Protein,Sugars,VitaminA,VitaminC,Calcium,Iron,Thiamin,Niacin,VitaminB6,Magnesium,Folate
12047,1027.0,59.4,12.0,19,857,456,102.5,6.9,24.5,9,2074,12,182,8,0,9,0,74,261
202955,155.0,11.9,6.0,22,109,500,8,2,6.2,4,1021,29,88,1,0,2,0,37,53
140611,173.0,5.2,2.0,9,516,152,23.7,6.4,7.7,2,323,7,121,3,0,1,0,10,10
14062,395.0,13.7,4.0,13,1090,1101,56.8,8.7,15.1,13,1383,38,341,6,0,7,0,122,126
84741,369.0,32.3,9.0,38,1077,571,11.4,4.5,10.5,3,1025,97,56,2,0,5,0,34,70
265802,127.0,7.2,1.0,0,32,574,15.4,5.4,2.6,8,1372,50,34,1,0,2,0,32,53
216536,427.0,28.4,6.0,17,537,128,34.4,3.1,11.7,7,137,3,122,0,0,1,0,16,14
215041,241.0,9.4,3.0,19,697,46,27.8,0.9,10,3,70,1,61,2,0,2,0,5,1
237813,378.0,15.9,6.0,39,858,156,40.3,1.3,17.5,10,318,4,9,2,0,3,0,11,6
236642,440.0,25.2,12.0,61,1339,360,36.4,2.8,17.3,6,1178,13,478,3,0,7,0,43,91
236208,293.0,15.6,8.0,44,689,173,22.3,1.1,15.5,3,476,5,274,2,0,3,0,14,14
232032,609.0,26.2,11.0,61,1531,378,63.1,4.1,30,10,5131,12,671,5,0,6,0,61,92
220190,399.0,21.5,10.0,58,1394,511,36.2,4.7,19.1,8,1171,14,91,3,0,3,0,34,25
244267,350.0,8.5,1.0,10,424,243,56.8,10.9,14.4,8,506,3,50,2,0,1,0,64,48
217383,362.0,23.5,9.0,88,585,245,22.1,1.8,16.1,3,4412,14,188,3,0,4,0,43,57
258013,833.0,43.1,13.0,201,1024,841,37.1,4.6,71.4,5,1262,57,393,6,0,29,1,87,108
17368,770.0,48.1,23.0,150,1542,866,42.3,10.4,42.1,3,1168,24,533,5,0,13,1,100,79
15022,196.0,12.6,8.0,36,359,124,16,1.6,4.8,1,1218,18,56,1,0,1,0,7,15
24878,385.0,16.1,9.0,58,1666,94,37.8,1.7,22.7,9,335,3,24,1,0,4,0,9,7
86649,327.0,13.5,7.0,45,839,70,30.2,0.5,20.5,2,416,3,554,1,0,4,0,15,28
21528,394.0,19.9,8.0,36,937,164,39.3,3,17.3,4,571,17,282,1,0,1,0,20,19
16756,467.0,38.8,14.0,58,741,198,20.7,1.1,8.8,4,2437,24,111,2,0,1,0,12,22
223075,616.0,30.2,12.0,58,1149,212,67.2,2.9,17.4,1,454,2,130,5,1,10,0,29,191
70801,145.0,4.7,1.0,7,213,56,19.4,0.8,5.8,0,74,1,91,1,0,3,0,10,55
24167,158.0,5.7,3.0,13,514,165,19.5,1.5,7.5,1,411,5,165,1,0,3,0,17,16
23735,785.0,40.7,13.0,83,1840,156,66.6,2.4,37.1,8,322,7,300,1,0,10,0,22,6
48727,239.0,5.6,1.0,0,535,303,41.3,2.6,6.2,3,380,5,22,3,0,5,0,22,110
55498,235.0,13.6,7.0,45,590,674,10.6,2.3,18.8,4,361,1,465,1,0,10,0,31,32
246516,212.0,6,2.0,13,614,23,28.7,1,9.6,4,140,1,116,2,0,1,0,4,1
228652,506.0,27.8,13.0,220,2521,285,5.1,1,56.5,3,753,4,545,1,0,6,0,31,20
222734,397.0,8.7,4.0,49,1291,649,63.4,5.1,17.4,9,841,25,302,6,1,9,0,51,172
231771,740.0,34.3,17.0,112,2011,499,67.1,3.7,44.6,14,1436,14,611,2,0,8,0,48,31
233084,626.0,29.4,14.0,92,1222,217,49.8,8.7,41.1,4,1015,7,946,1,0,7,0,34,22
232789,232.0,5.8,3.0,33,788,142,30.3,1.4,13.9,0,82,1,48,2,0,2,0,23,47
240376,590.0,29.1,10.0,47,1408,104,60.4,2.9,19.5,6,123,0,168,3,1,6,0,21,127
259538,215.0,9.3,2.0,16,340,208,25.8,5,7.7,3,746,10,44,0,0,1,0,11,12
24368,237.0,12.5,6.0,28,568,350,23.1,2.2,8.9,4,4348,19,197,3,0,2,0,45,96
133948,551.0,25.6,11.0,58,1183,200,54.4,2.8,28.9,5,882,8,425,2,0,4,0,22,17
8990,302.0,17.2,6,47,573,169,18.8,0.9,17,3,466,4,184,1,0,7,0,18,10
219890,259.0,6.4,2.0,19,591,94,38.8,1.7,13.4,5,203,3,7,0,0,1,0,2,2
